Week,12M Fwd EPS 1W Chg
10,-0.139877925
11,0.674901312
12,-0.29091829
13,-0.114169732
14,-0.012700025
15,0.660485203
16,-0.075709779
17,0.088394999
18,0.290184204
19,0.364825764
20,1.81749812
21,0.553982519
22,0.061214496
23,0.061177046
24,1.076057716
25,-4.524558432
26,-0.405473898
27,-0.279898219
28,1.684103088
29,-0.790464241
30,-0.429998735
31,1.003429442
32,-0.628772636
33,1.050366996
34,-0.463368817
35,-0.993960745
36,-1.283517601
37,0.914006179
38,-0.025513458
39,-0.535919357
40,-0.782552919
41,-1.55159038
42,2.705542422
43,-1.291560102
44,-0.660707346
45,-1.17370892
46,1.583531275
47,0.155884645
48,-0.518806744
49,-0.260756193
50,-0.274509804
51,0.013107878
52,-0.380078637
1,-0.078936982
2,-0.105332456
3,-1.463028865
4,-0.74906367
5,-0.943396226
6,-0.204081633
7,-0.190865712
8,-0.573692119
9,-1.112790218
10,-0.166712976
11,1.029780128
12,0.743801653
13,0.423844681
14,0.217835262
15,0.108680886
16,1.234902972
17,0.107238606
18,-0.46866631
19,-0.255616844
20,3.358510925
21,-0.495889338
22,-0.026229508
23,-0.118063754
24,1.352771211
25,0.22029286
26,0.245668477
27,-0.025796466
28,-0.70958586
29,0.714656965
30,-0.180621855
31,-0.090474344
32,-1.112548512
33,0.287807431
34,-0.600052178
35,-0.695538058
36,-0.436104136
37,-0.371648527
38,0.972555289
39,-0.250692704
40,-0.238095238
41,-1.060726598
42,1.219512195
43,-0.185356812
44,-0.941769465
45,-0.508837708
46,1.588156124
47,-0.423953365
48,-0.306013837
49,-0.026691579
50,-0.093445468
51,1.710315339
52,-0.065685759
1,0.644143552
2,0.026123302
3,0.613737268
4,0.064892927
5,-0.84306096
6,-0.418574232
7,0.052541705
8,-0.827097282
9,-0.463330686
10,-0.132996409
11,-0.31961646
12,1.229124916
13,0.184769698
14,-0.724542221
15,-0.212314225
16,1.316489362
17,0.315001969
18,-0.484103101
19,3.944254536
20,1.55578042
21,-0.386100386
22,-0.312578145
23,-0.225761947
24,-0.289126336
25,1.260716087
26,-0.585159363
27,-0.475892298
28,-0.805335347
29,0.570848662
30,-1.362260343
31,-0.907928389
32,-0.116144019
33,0.310077519
34,0.10303967
35,0.115800309
36,0.205629097
37,0.230858022
38,1.126039667
39,1.442490194
40,-0.16215542
41,-0.324837581
42,0.902481825
43,-0.298136646
44,-0.336406678
45,-0.962620328
46,0.719515274
47,-0.300789573
48,-0.276555625
49,0.403378293
50,-0.125549278
51,2.07416719
52,0.086206897
1,-0.578319183
2,-0.21039604
3,0.520897929
4,-2.060456508
5,-2.305366591
6,-0.941328175
7,-2.00468628
8,-0.039851222
9,-0.34551495
10,-0.253367116
11,-0.548128342
12,0.389837344
