Type,Return
Early Majority,32.80051151
Early Majority,31.25
Early Majority,30.20205601
Early Majority,26.90917851
Early Majority,25.86763317
Early Majority,24.22413793
Early Majority,22.46328438
Early Majority,22.2455404
Early Majority,17.36011478
Early Majority,17.25161987
Early Majority,13.63810436
Early Majority,13.16368206
Early Majority,11.67656986
Early Majority,10.94339623
Early Majority,9.802235598
Early Majority,9.452137267
Early Majority,9.192383454
Early Majority,8.843202081
Early Majority,8.787947957
Early Majority,7.942583732
Early Majority,7.140419948
Early Majority,6.622799001
Early Majority,5.101756342
Early Majority,3.78462739
Early Majority,3.436495177
Early Majority,2.680140598
Early Majority,1.858736059
Early Majority,-0.278842802
Early Majority,-0.29154519
Early Majority,-0.71796955
Early Majority,-0.93129997
Early Majority,-0.948616601
Early Majority,-2.928319031
Early Majority,-5.077406397
Early Majority,-7.904263878
Early Majority,-9.1080952
Early Majority,-9.645218003
Early Majority,-17.11924119
Early Majority,-20.9058238
Early Majority,-30.54076772
Late Majority,23.45532319
Late Majority,18.82537091
Late Majority,16.35
Late Majority,11.22682245
Late Majority,10.24802398
Late Majority,9.536831028
Late Majority,7.330827068
Late Majority,6.405867971
Late Majority,5.445744252
Late Majority,3.096840692
Late Majority,3.003240737
Late Majority,-2.395861693
Late Majority,-2.454888796
Late Majority,-6.826196474
Late Majority,-7.110744123
Late Majority,-11.36947639
Late Majority,-12.73313378
Late Majority,-12.90949473
Late Majority,-14.56106252
Late Majority,-14.8394675
Late Majority,-16.23545754
Late Majority,-17.4270557
Late Majority,-18.79828326
Late Majority,-19.37956204
Late Majority,-22.46974697
Late Majority,-22.99895142
Late Majority,-27.29898893
Late Majority,-43.75823706
Late Majority,-51.39664804

